Date, Close/Last, Volume, Open, High, Low
12/13/2019, $358.39, 6574281, $361.05, $365.21, $354.64
12/12/2019, $359.68, 7776211, $354.92, $362.74, $353.23
12/11/2019, $352.7, 6919162, $351.8765, $357.1899, $351.09
12/10/2019, $348.84, 8839951, $339.96, $350.73, $339.31
12/09/2019, $339.53, 9040217, $336.59, $344.45, $335.08
12/06/2019, $335.89, 7618937, $335, $338.86, $334.77
12/05/2019, $330.37, 3736976, $332.83, $334.4227, $327.25
12/04/2019, $333.03, 5536255, $337.75, $337.86, $332.85
12/03/2019, $336.2, 6613476, $332.62, $337.91, $332.186
12/02/2019, $334.87, 6081986, $329.4, $336.3827, $328.687
11/29/2019, $329.94, 2465629, $331.11, $331.26, $327.5
11/27/2019, $331.29, 5563459, $331.12, $333.93, $328.57
11/26/2019, $328.92, 7956239, $335.27, $335.5, $327.1
11/25/2019, $336.34, 12345770, $344.32, $344.57, $334.46
11/22/2019, $333.04, 16870640, $340.16, $341, $330
11/21/2019, $354.83, 6110013, $354.51, $360.84, $354.0039
11/20/2019, $352.22, 6733965, $360, $361.2, $349.57
11/19/2019, $359.52, 7736078, $351.75, $359.99, $347.8
11/18/2019, $349.99, 4408505, $352.917, $353.15, $346.1
11/15/2019, $352.17, 4812563, $350.64, $352.8, $348.36
11/14/2019, $349.35, 6471703, $346.11, $353.84, $342.91
11/13/2019, $346.11, 8467863, $355, $356.33, $345.18
11/12/2019, $349.93, 7359383, $346.9, $350.37, $344.04
11/11/2019, $345.09, 9993689, $343.95, $349.19, $342
11/08/2019, $337.14, 6074221, $334.5, $337.46, $332.5
11/07/2019, $335.54, 14467350, $329.14, $341.5, $328.02
11/06/2019, $326.58, 7940932, $318, $326.72, $314.5
11/05/2019, $317.22, 6943417, $319.62, $323.51, $316.118
11/04/2019, $317.47, 8787040, $314.8, $321.94, $309.26
11/01/2019, $313.31, 6383929, $316.32, $316.48, $309.8
10/31/2019, $314.92, 5066956, $313.1, $319, $313
10/30/2019, $315.01, 9641810, $313, $318.79, $309.97
10/29/2019, $316.22, 12684270, $319.99, $324.3, $314.75
10/28/2019, $327.71, 18870290, $327.54, $340.84, $322.6
10/25/2019, $328.13, 30006090, $297.72, $330, $296.11
10/24/2019, $299.68, 29819230, $298.37, $304.93, $289.2
10/23/2019, $254.68, 11216180, $254.5, $256.14, $251.35
10/22/2019, $255.58, 4625095, $254.32, $258.33, $250.85
10/21/2019, $253.5, 5108101, $258.33, $259.5, $250.18
10/18/2019, $256.95, 5753666, $260.7, $262.8, $255.1
10/17/2019, $261.97, 4779043, $262.5, $264.78, $260.17
10/16/2019, $259.75, 6704303, $257.39, $262.1, $256.92
10/15/2019, $257.89, 6479456, $257.7, $260, $254.12
10/14/2019, $256.96, 10226860, $247.9, $258.55, $247.13
10/11/2019, $247.89, 8488159, $247.15, $251.08, $246.81
10/10/2019, $244.74, 6313417, $245.28, $249.28, $241.58
10/09/2019, $244.53, 6935033, $241.32, $247.295, $240.65
10/08/2019, $240.05, 8702338, $235.87, $243.94, $234.5
10/07/2019, $237.72, 8086957, $229.8, $238.56, $228.55
10/04/2019, $231.43, 8021180, $231.61, $234.78, $228.07
10/03/2019, $233.03, 15137760, $231.86, $234.48, $224.28
10/02/2019, $243.13, 6256548, $243.29, $244.65, $239.43
10/01/2019, $244.69, 6196290, $241.5, $245.95, $239.13
09/30/2019, $240.87, 5946161, $243, $243.98, $236.1111
09/27/2019, $242.13, 11123180, $242.2, $248.71, $238.73
09/26/2019, $242.56, 12078790, $230.66, $243.31, $227.4
09/25/2019, $228.7, 9444286, $224.56, $228.98, $218.36
09/24/2019, $223.21, 12941110, $241.52, $241.99, $222.61
09/23/2019, $241.23, 4391630, $240, $245.1794, $239.22
09/20/2019, $240.62, 6506264, $246.49, $246.946, $238.16
09/19/2019, $246.6, 4883135, $246, $247.94, $244.84
09/18/2019, $243.49, 4228103, $245, $248.1685, $242.37
09/17/2019, $244.79, 3946909, $242.47, $245.6, $240.37
09/16/2019, $242.81, 4728096, $246, $247.43, $241.17
09/13/2019, $245.2, 5313145, $246.96, $248.45, $244.865
09/12/2019, $245.87, 8581210, $247.7, $253.5, $244.4
09/11/2019, $247.1, 10042780, $237.38, $248.1741, $236
09/10/2019, $235.54, 4883714, $230.8, $235.54, $228.94
09/09/2019, $231.79, 4802669, $230, $233.76, $229.23
09/06/2019, $227.45, 4189372, $227.2, $229.64, $225.17
09/05/2019, $229.58, 7403322, $222.5, $229.8, $220.85
09/04/2019, $220.68, 5768696, $226.89, $228.46, $219.205
09/03/2019, $225.01, 5360546, $224.08, $228.95, $223.16
08/30/2019, $225.61, 9327775, $229.15, $232.44, $224.213
08/29/2019, $221.71, 5183104, $219, $223.4, $218
08/28/2019, $215.59, 3238625, $213.69, $217.25, $212.31
08/27/2019, $214.08, 5420727, $215.74, $218.8, $212.03
08/26/2019, $215, 5054414, $213.6, $215.02, $211.54
08/23/2019, $211.4, 8559704, $219.97, $221.17, $211
08/22/2019, $222.15, 6564964, $222.8, $225.4, $218.22
08/21/2019, $220.83, 7799744, $222.01, $223.22, $217.6
08/20/2019, $225.86, 4170527, $227.62, $229.09, $224.54
08/19/2019, $226.83, 5311748, $224.21, $227.83, $221.7
08/16/2019, $219.94, 5207376, $216.66, $222.24, $216.02
08/15/2019, $215.64, 8231952, $220.86, $221.56, $211.55
08/14/2019, $219.62, 9562591, $231.21, $231.5, $216.69
08/13/2019, $235, 4868998, $228.81, $236, $227.55
08/12/2019, $229.01, 4663937, $232.99, $235.77, $228.75
08/09/2019, $235.01, 3898244, $236.054, $238.96, $233.81
08/08/2019, $238.3, 5274349, $234.45, $239.8, $232.65
08/07/2019, $233.42, 4776500, $226.5, $233.5688, $225.8
08/06/2019, $230.75, 5564200, $231.88, $232.5, $225.75
08/05/2019, $228.32, 7028279, $229.6, $231.3673, $225.775
08/02/2019, $234.34, 6136481, $231.35, $236.27, $229.23
08/01/2019, $233.85, 8259516, $242.65, $244.51, $231.77
07/31/2019, $241.61, 9178208, $243, $246.68, $236.6501
07/30/2019, $242.26, 8109014, $232.9, $243.36, $232.18
07/29/2019, $235.77, 9273331, $227.09, $235.94, $226.0325
07/26/2019, $228.04, 10027700, $226.92, $230.26, $222.25
07/25/2019, $228.82, 22418250, $233.5, $234.5, $225.5501
07/24/2019, $264.88, 11072840, $259.17, $266.07, $258.1601
07/23/2019, $260.17, 5023121, $256.71, $260.48, $254.5
07/22/2019, $255.68, 6846273, $258.75, $262.155, $254.1911
07/19/2019, $258.18, 7048410, $255.69, $259.96, $254.62
07/18/2019, $253.54, 4764483, $255.05, $255.75, $251.885
07/17/2019, $254.86, 9764727, $255.67, $258.31, $253.35
07/16/2019, $252.38, 8148989, $249.3, $253.53, $247.9325
07/15/2019, $253.5, 11000090, $248, $254.42, $244.86
07/12/2019, $245.08, 9200521, $239.75, $245.38, $239.71
07/11/2019, $238.6, 7514430, $238.14, $241.5, $235.8
07/10/2019, $238.92, 9145736, $234.15, $238.94, $233.14
07/09/2019, $230.06, 6190835, $228.97, $231, $227.28
07/08/2019, $230.34, 5880542, $231.24, $232.25, $228.66
07/05/2019, $233.1, 7065738, $234.57, $235.45, $230.8
07/03/2019, $234.9, 14201150, $239.39, $241.57, $234.51
07/02/2019, $224.55, 9259027, $228.89, $229.15, $222.22
07/01/2019, $227.17, 8237964, $230.21, $233.0995, $226.28
06/28/2019, $223.46, 6851384, $220.99, $225.17, $220.8
06/27/2019, $222.84, 6339710, $219.45, $222.9, $217.35
06/26/2019, $219.27, 8507208, $220.31, $227.23, $218.1
06/25/2019, $219.76, 6182071, $224.39, $225.34, $219.49
06/24/2019, $223.64, 5750771, $223.24, $225.86, $221.02
06/21/2019, $221.86, 8202078, $216.22, $222.18, $215.5
06/20/2019, $219.62, 11863460, $223, $226.9, $216.35
06/19/2019, $226.43, 6575135, $225.11, $227.77, $221.06
06/18/2019, $224.74, 12715790, $228.72, $234.74, $222.56
06/17/2019, $225.03, 12316800, $215.48, $227, $214.27
06/14/2019, $214.92, 7433402, $211.25, $216.65, $210.4
06/13/2019, $213.91, 8168260, $210.38, $214.9, $207.5103
06/12/2019, $209.26, 15197540, $222.95, $223.38, $209
06/11/2019, $217.1, 11653540, $219.144, $220.9, $213.5
06/10/2019, $212.88, 10585040, $210.25, $216.94, $209.01
06/07/2019, $204.5, 16003530, $205, $210.8438, $203.499
06/06/2019, $205.95, 20242150, $204.44, $211, $201.8
06/05/2019, $196.59, 13510760, $198.68, $201.2782, $191.8486
06/04/2019, $193.6, 13807520, $181.1, $193.98, $179.61
06/03/2019, $178.97, 13064410, $185.51, $186.68, $176.9919
05/31/2019, $185.16, 10406730, $185.1, $189.9204, $184.1
05/30/2019, $188.22, 7926475, $188.75, $192.255, $187.02
05/29/2019, $189.86, 11968640, $187.1, $192.39, $185.0401
05/28/2019, $188.7, 10312900, $191.2, $195, $187.85
05/24/2019, $190.63, 14136570, $199.83, $199.98, $188.7505
05/23/2019, $195.49, 26547140, $194.34, $199.465, $186.22
05/22/2019, $192.73, 18685190, $199.1, $203.94, $191.78
05/21/2019, $205.08, 18003900, $197.76, $207.4, $196.04
05/20/2019, $205.36, 20526200, $202.8, $206, $195.25
05/17/2019, $211.03, 17786670, $221.96, $222.24, $208.92
05/16/2019, $228.33, 7483273, $229.49, $231, $226.5
05/15/2019, $231.95, 7295976, $229.32, $232.44, $225.25
05/14/2019, $232.31, 7252412, $229.3, $234.5, $228
05/13/2019, $227.01, 10834800, $232.01, $232.47, $224.5
05/10/2019, $239.52, 7008336, $239.75, $241.99, $236.02
05/09/2019, $241.98, 6711382, $242, $243.68, $236.9434
05/08/2019, $244.84, 6176440, $246.94, $250.599, $244.2
05/07/2019, $247.06, 10131410, $256.8, $257.21, $245.1
05/06/2019, $255.34, 10833940, $250.02, $258.3499, $248.5
05/03/2019, $255.03, 23706770, $243.86, $256.61, $243.49
05/02/2019, $244.1, 18159340, $245.52, $247.13, $237.72
05/01/2019, $234.01, 10704350, $238.85, $240, $231.5
04/30/2019, $238.69, 9446965, $242.06, $244.21, $237
04/29/2019, $241.47, 16686620, $235.86, $243.98, $232.17
04/26/2019, $235.14, 22151160, $246.5, $246.68, $231.13
04/25/2019, $247.63, 21823380, $255, $259, $246.07
04/24/2019, $258.66, 9657061, $263.85, $265.32, $258
04/23/2019, $263.9, 10909350, $260.15, $265.6, $255.75
04/22/2019, $262.75, 12101690, $269, $269.68, $262.48
04/18/2019, $273.26, 5861478, $271.23, $274.84, $269.75
04/17/2019, $271.23, 5118011, $274.75, $274.79, $268.535
04/16/2019, $273.36, 7266504, $265.75, $275, $264.72
04/15/2019, $266.38, 10032490, $268.63, $268.88, $258.63
04/12/2019, $267.7, 6735386, $270.22, $271.95, $266.83
04/11/2019, $268.42, 9781294, $268.3, $270.5, $265.6
04/10/2019, $276.06, 7045034, $276.74, $278.38, $272.8925
04/09/2019, $272.31, 5893247, $271.65, $275, $269.61
04/08/2019, $273.2, 10364600, $277.69, $281.16, $270.44
04/05/2019, $274.96, 13022740, $269.86, $276.1, $266.11
04/04/2019, $267.78, 23680170, $261.89, $271.2, $260.59
04/03/2019, $291.81, 7916650, $287.32, $296.17, $287.17
04/02/2019, $285.88, 5427184, $288.3, $289.44, $283.88
04/01/2019, $289.18, 8093134, $282.62, $289.2, $281.281
03/29/2019, $279.86, 5980355, $278.7, $280.16, $274.5
03/28/2019, $278.62, 6764921, $277.16, $280.33, $275.1
03/27/2019, $274.83, 8752384, $268.75, $275.37, $268.1838
03/26/2019, $267.77, 7341868, $264.44, $270.26, $264.43
03/25/2019, $260.42, 10205080, $259.71, $263.18, $254.46
03/22/2019, $264.53, 8721950, $272.58, $272.8, $264
03/21/2019, $274.02, 5930925, $272.6, $276.45, $268.45
03/20/2019, $273.6, 6881976, $269.69, $274.97, $266.3
03/19/2019, $267.47, 11774330, $267.5, $273.3, $263.46
03/18/2019, $269.49, 10264960, $276, $278.05, $267.3
03/15/2019, $275.43, 14757360, $283.51, $283.7244, $274.4
03/14/2019, $289.96, 7048138, $292.45, $295.39, $288.29
03/13/2019, $288.96, 6817854, $283.9, $291.99, $282.7
03/12/2019, $283.36, 7488037, $286.49, $288.07, $281.06
03/11/2019, $290.92, 7372298, $283.52, $291.28, $280.5
03/08/2019, $284.14, 8805772, $276.91, $285.59, $275.89
03/07/2019, $276.59, 9410697, $278.84, $284.7, $274.25
03/06/2019, $276.24, 10319370, $276.48, $281.5058, $274.39
03/05/2019, $276.54, 18729800, $282, $284, $270.1
03/04/2019, $285.36, 17068890, $298.12, $299, $282.78
03/01/2019, $294.79, 22848750, $306.94, $307.13, $291.9
02/28/2019, $319.88, 9666224, $318.92, $320, $310.81
02/27/2019, $314.74, 11144100, $301.78, $316.295, $300.55
02/26/2019, $297.86, 8571609, $292.22, $302.01, $288.7701
02/25/2019, $298.77, 6213701, $297.91, $302.9044, $297.0005
02/22/2019, $294.71, 5731380, $294.49, $296.5, $292.1
02/21/2019, $291.23, 8880830, $301.81, $303.2399, $290.5
02/20/2019, $302.56, 7132969, $304.41, $306.3, $299
02/19/2019, $305.64, 4120520, $306.56, $311.5442, $305.47
02/15/2019, $307.88, 3895815, $304.5, $308, $303.9
02/14/2019, $303.77, 5190887, $303.38, $306.77, $301
02/13/2019, $308.17, 5130398, $312.35, $312.75, $305.57
02/12/2019, $311.81, 5485419, $316.2, $318.19, $309.62
02/11/2019, $312.84, 7114012, $311.6, $318.6, $310.5
02/08/2019, $305.8, 5835078, $306.83, $307.445, $298.5
02/07/2019, $307.51, 6511830, $313.3, $314.7, $303
02/06/2019, $317.22, 5031368, $319.59, $324.24, $315.624
02/05/2019, $321.35, 6734739, $312.49, $322.44, $312.2494
02/04/2019, $312.89, 7344076, $312.98, $315.3, $301.88
02/01/2019, $312.21, 7263618, $305.42, $316.1, $303.5
01/31/2019, $307.02, 12545190, $301, $311.5636, $294
01/30/2019, $308.77, 10594040, $300.45, $309, $298.49
01/29/2019, $297.46, 4602933, $295.27, $298.5566, $291.8
01/28/2019, $296.38, 6409477, $292.91, $297.46, $287.75
01/25/2019, $297.04, 7102781, $294.39, $298.5195, $289.55
01/24/2019, $291.51, 7990911, $283.03, $293.68, $279.2831
01/23/2019, $287.59, 12513080, $292.5, $294.5, $281.69
01/22/2019, $298.92, 12052130, $304.82, $308, $295.5
01/18/2019, $302.26, 24079260, $323, $327.1297, $299.7301
01/17/2019, $347.31, 3661162, $346.21, $351.5, $344.15
01/16/2019, $346.05, 4677227, $344.78, $352, $343.5
01/15/2019, $344.43, 6047890, $335, $348.8, $334.5
01/14/2019, $334.4, 5232690, $342.38, $342.5, $334
01/11/2019, $347.26, 5035078, $342.09, $348.41, $338.77
01/10/2019, $344.97, 6049621, $334.4, $345.39, $331.79
01/09/2019, $338.53, 5426618, $335.5, $343.5025, $331.47
01/08/2019, $335.35, 6994427, $341.96, $344.01, $327.02
01/07/2019, $334.96, 7542338, $321.72, $336.74, $317.7508
01/04/2019, $317.69, 7382755, $306, $318, $302.73
01/03/2019, $300.36, 6948577, $307, $309.4, $297.38
01/02/2019, $310.12, 11611270, $306.1, $315.13, $298.8
12/31/2018, $332.8, 6294298, $337.79, $339.21, $325.26
12/28/2018, $333.87, 9918777, $323.1, $336.24, $318.41
12/27/2018, $316.13, 8567385, $319.84, $322.1717, $301.5
12/26/2018, $326.09, 8143102, $300, $326.97, $294.09
12/24/2018, $295.39, 5559913, $313.5, $314.5, $295.195
12/21/2018, $319.77, 7997219, $317.4, $323.47, $312.44
12/20/2018, $315.38, 9049389, $327.054, $330.29, $311.869
12/19/2018, $332.97, 8256374, $337.6, $347.01, $329.74
12/18/2018, $337.03, 7084887, $350.54, $351.55, $333.69
12/17/2018, $348.42, 7664832, $362, $365.7, $343.88
